Year,CPI Value
1958,1.33
1959,1.34
1960,1.36
1961,1.39
1962,1.41
1963,1.43
1964,1.46
1965,1.52
1966,1.57
1967,1.63
1968,1.66
1969,1.72
1970,1.8
1971,1.91
1972,2.03
1973,2.22
1974,2.48
1975,2.82
1976,3.13
1977,3.48
1978,3.86
1979,4.38
1980,4.97
1981,5.73
1982,6.57
1983,7.38
1984,8.23
1985,9.57
1986,11.36
1987,13.2
1988,14.88
1989,17.07
1990,19.52
1991,22.51
1992,25.64
1993,28.13
1994,30.64
1995,33.3
1996,35.75
1997,38.82
1998,41.5
1999,43.65
2000,45.98
2001,48.6
2002,53.21
2003,56.23
2004,55.84
2005,57
2006,58.84
2007,62.48
2008,68.77
2009,73.74
2010,76.75
2011,80.59
2012,85.2
2013,90.13
2014,95.66
2015,100
2016,106.57
2017,112.1
2018,117.16
2019,121.99
2020,125.9
2021,131.71
2022,140.98
